,Unnamed: 0,DOC_ID,LABEL,RATING,VERIFIED_PURCHASE,PRODUCT_CATEGORY,PRODUCT_ID,PRODUCT_TITLE,REVIEW_TITLE,REVIEW_TEXT,DEGREE_0.25,DEGREE_0.50,DEGREE_0.75
0,75,76,__label1__,1,N,Grocery,B005DVUTIO,"Campbell's Slow Kettle Style Soup, Tomato & Sweet Basil Bisque, 15.5 Ounce (Pack of 8)",not sold,"I'm not really sold on the flavor and texture of the contents. When a rather lazy roommate served this, it was a night of hilarity which involved some food throwing. Still, it might just me who is too picky.",681,493,13.0
1,162,163,__label1__,4,N,Grocery,B00014JNI0,"YS Organic Bee Farms CERTIFIED ORGANIC RAW HONEY 100% CERTIFIED ORGANIC HONEY Raw, Unprocessed, Unpasteurized - Kosher 32oz",I love honey.,"I have been taking honey from when i was a child and always love them till now,I ordered YS organic bee honey which i use every morning.so sweet!",678,542,37.0
2,192,193,__label1__,4,N,Grocery,B005PN6A4W,"Kashi Trail Mix Chewy Granola Bars, 22.1 -Ounce","Very tasty, not too sweet","These are the lowest calorie bar with the highest fiber and protein ever. Plus they are so good that when Harps stopped caring them they sold out. Very tasty, not too sweet. Great for healthy snacking.",682,640,101.0
3,196,197,__label1__,4,N,Grocery,B000ER3EFC,"Earth's Best Organic Stage 2, Sweet Potatoes, 4 Ounce (Pack of 12)",good product,"Ok, no one tell my son this....but, I actually put this baby food (always use organic!) in his muffins. He hasn't even been able to tell that it's in there!<br />It's easy to mix in the batter and it doesn't change the color.<br />Even if I can't get him to eat things like sweet potatoes...he's getting them anyway! Cleaver mommy...heehee",682,611,68.0
4,257,258,__label1__,4,N,Grocery,B003VFJK6G,Blue Raspberry Jolly Ranchers 160 pieces,Blues are the best!,"Ahhh!! Im so happy to have found just blue jolly ranchers.  Like someone else stated, there never seems to be enough blue in a bag of mixed flavors.  And all my friends fight over the blue ones. lol  I just wish the price wasn't as high as it is.  But ill pay it to have my blues",682,542,1.0
5,308,309,__label1__,4,N,Grocery,B0050NTYXG,"HERSHEY'S Halloween Snack Size Assortment (36.22-Ounce Bag, 100 Pieces)",Delicious but a bit expensive,"Delicious candies, it comes very well packed, so the taste of each kind of candy was good. My only complaint is that after I purchased them, I found the same package for a better price by several dollars.",681,638,157.0
6,428,429,__label1__,4,N,Grocery,B006N3HY48,"Bigelow K-Cup Portion Pack for Keurig Brewers, Green Tea, 24 Count","Good Value, Easy Use","I am a Keurig fanatic. The K-cups are a staple of my house. I find it very convenient especially in the morning because I am notorious for running late. K-cups make it really easy to measure and be on the run. Green tea is my favorite flavor and bigelow is amongst my favorite brand. I find these cups to be flavorful and not dull like so many alternatives. I also appreciate that it's not sweetened to death like some green teas.<br /><br />There are always those mornings where a little extra flavor can't hurt. Adding a dash of green tea powder {[[ASIN:B009PICJTS All Natural Organic Instant Green Tea Powder 8 oz. - Buy One Get One Free!]]} gives me the extra hit I'm looking for as well as a jolt of natural energy. I much prefer tea to coffee or other stimulants. Plus I don't have any crash which is always important. I don't need the extra always, but it's nice to have it and be able to add it accordingly without challenge.",682,665,230.0
7,459,460,__label1__,4,N,Grocery,B000NMG0WC,"Trolli Sour Brite Crawlers, 63.5oz Tub",lovely and tasty gummy,my daughter Amy and she is 14 years of age. she has been eating your gummy worms for like ever. They are the best gummy snack im so serious . she love them and everything yall have made.,680,554,12.0
8,534,535,__label1__,3,N,Grocery,B000F4H5FY,"Twinings Variety Pack of Four Flavors, Tea Bags, 20-Count Boxes (Pack of 6)",Good variety,This is great tasting tea. I have been drinking this brand for many years and I never buy anything else. This is a great variety!,681,451,8.0
9,571,572,__label1__,3,N,Grocery,B008EL7MN0,"Melitta Coffee, Classic Blend Ground, Medium Roast, 22-Ounce",okay,This product is okay if all you're looking for is a hot beverage in the morning. I was very disappointed in the lack of real coffee flavor. Will not buy again.,682,570,25.0
10,717,718,__label1__,4,N,Grocery,B000GAT6NG,"Nutiva Organic Virgin Coconut Oil, 54 Ounce",I like the aroma of the coconut oil,If you like the aroma of the coconut oil then you will definitely like this product. Personally I like the aroma of the coconut oil but my body doesn't seem to be able to deal with it well. Therefore I have stopped buying it anymore.,682,576,30.0
11,744,745,__label1__,4,N,Grocery,B000NMJWZO,"Pamela's Products Gluten Free Baking and Pancake Mix, 4-Pound Bags (Pack of 3)",It mixes up easily,It mixes up easily. The texture of the pancakes is perfect. The pumpkin flavor is not too over powering and just the right touch of spices. I highly recommend this item to pancake lovers and pumpkin flavor fans.,681,624,156.0
12,824,825,__label1__,3,N,Grocery,B000ILEJQM,"Jelly Belly Sugar Free Jelly Beans, Assorted Flavors, 2.8-Ounce Bags (Pack of 12)",Not suitable for bean lover,I have never tried S&W baked beans before and after these are gone I doubt I'll ever try them again. The beans are small and the sauce is watery and anemic-tasting. Really bland. Very disappointing product.,675,423,16.0
13,827,828,__label1__,3,N,Grocery,B000B6MW7C,"McCormick Garlic Bread Sprinkle, 2.75-Ounce Unit (Pack of 6)",its delicious,I used this product many years ago and it was the best. I was so glad to find it on your web site. It makes garlic bread that is absolutely delicious. Better price than regular grocery stores. Love it!!!,681,622,118.0
14,847,848,__label1__,4,N,Grocery,B00CREY86Y,"Lipton Black Tea Bags, America's Favorite Tea 100 ct","Convienant Packaging, delicious taste","I have been drinking lipton iced tea for what seems like forever. If you drink a lot of tea, then the packaging is perfect for you. Everyone in my family drink iced tea so it is nice to be able to quickly have a cup hot or cold, both are delicous. I would also recommend this iced tea mix, [[ASIN:B009PIEW3O 100% Pure Instant Iced Tea Powder (Unsweetened) 8 oz. - Buy One Get One Free!]]. It comes in a resealable foil bag so whether you want to make a bunch or just a cup its quick and easy to do. Plus it is literally the only tea I've tasted that actually rivals lipton without even adding any sweetener to it, really really good.",683,618,134.0
