,DOC_ID,LABEL,RATING,VERIFIED_PURCHASE,PRODUCT_CATEGORY,PRODUCT_ID,PRODUCT_TITLE,REVIEW_TITLE,REVIEW_TEXT
15,16,__label1__,4,N,Electronics,B004WODP20,Sony MDRZX100  ZX Series Stereo Headphones (Black),Price is right!,wonderful headphones had them now for 5 months and works great also great price and the sound is very clear and loud and soft the the ears love my headphones not to mention that they are sony
103,104,__label1__,4,N,Electronics,B0077V8930,Onkyo TX-SR313 5.1- Channel Home Theater A/V Receiver (Discontinued by Manufacturer),good for the price,"For the price, this is a pretty good receiver, but if you are wanting soemthing that gives you a lot of options and will last a really long time, then I would suugest going with the Onkyo TX-NR616 7.2 version.<br /><br />http://www.amazon.com/gp/product/B0077V88W2/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B0077V88W2&linkCode=as2&tag=wwwworkoutwei-20"
144,145,__label1__,2,N,Electronics,B0007N55NM,Sony MDR-XD100 Stereo Headphones (Discontinued by Manufacturer),Didn't meet up to my expectations,"I bought these things after reading allot of good reviews. But sadly these didn't meet up to my expectations. The bass is very lacking and the sound is pretty low quality. I am glad I bought them thought to get a personal experience of them, although they are stylish and fold nice that's pretty much all there is good to say about these. So I returned them before the return policy ran out, and moved to another Brand. After trying a few models Skull candy makes, I decided they were not for me."
150,151,__label1__,4,N,Electronics,B008DS0XYE,Beats Solo HD On-Ear Headphone (White) (Discontinued by Manufacturer),Paying for name,These are good headphones but you are paying more for the name on the side.  I actually tend to use ear buds more than these.  So quality wise they are good but can find better or same quality for less money.
187,188,__label1__,4,N,Electronics,B004JRYLG4,JVC HAS160B FLATS Lightweight Headband Headphones (Black),What a great deal!,The headset has worked great in my household. I have left them on my head and realized they were working clear as a bell downstairs when I retrieved something to drink. What clarity they have! Tune them in and you're all set. I've even laid down with them and they don't turn off like others have. All the controls are on the side of the ear piece and don't get in the way of lying on side. What a great deal!
306,307,__label1__,1,N,Electronics,B000VEP3XO,Rocketfish Universal Wireless Rear Speaker Kit RF-WHTIB-A,Drops signal,The unit worked fine initially. However from day 2 on the signal drops every 20 minutes. I have to power cycle either the transmitter or receiver to get the units synced up again.
313,314,__label1__,1,N,Electronics,B00NR5BUQ8,CyberPower RB1280X2D 12V 9Ah UPS Battery - This is an AJC Brand&#174; Replacement,NOT A CYBERPOWER RB1280X2D REPLACEMENT BATTERY,PLEASE NOTE - THIS IS NOT A CYBERPOWER RB1280X2D REPLACEMENT BATTERY. USE OF THIS PRODUCT MAY NEGATIVELY AFFECT PRODUCT PERFORMANCE AND MANUFACTURER WARRANTY.
463,464,__label1__,2,Y,Electronics,B0038N2U0O,RCA RC50 Voice Activated Alarm Clock (Discontinued by Manufacturer),Meh,:/ I had high expectations of this clock but now it's just sitting in the trash.   I'm thinking of picking up a http://www.amazon.vote/gp/product/B004I8WHC4  in this case spend the extra money and get something nicer.  I hope this review was helpful! -J
491,492,__label1__,4,N,Electronics,B004FJV8EE,Sewell BlastIR SW-29311 Infrared (IR) Remote Control Receiver Kit (Black),Great Deal,"This repeater was super easy to install...just place the receiver, place the repeaters on your devices, and plug all into the base. Total installation time was less than 10 minutes, and now my cable box and DVD player are hidden, no need to open the cabinet doors anymore."
519,520,__label1__,4,Y,Electronics,B002TZBW74,Ckitze Flat Europe/Asia to USA Plug Adapter,Working affordable Europe to USA adapter,"there is nothing more to say except that it is a cheap working  plug adapter, I would only hope that this one would last longer than my previous one"
528,529,__label1__,4,N,Electronics,B00C402ZYS,"Bluetooth 5.25"" Indoor/Outdoor Weatherproof Patio Speakers (White- pair)-by Sound Appeal",OK for the money,These speakers are fairly basic but sound decent compared to other Bluetooth speakers. I would recommend these.
578,579,__label1__,3,N,Electronics,B004444O5A,"AKG Q460 Mini On Ear Headphones, Quincy Jones Signature Line",earphone,I also believe the Q's will be more durable. The plastic headband on the Solo's breaks WAY TO EASY! Stay away from the hype and get this better product. My only complaint is the length of the cords.
581,582,__label1__,4,N,Electronics,B00BCRL770,Directv Dtv Wall Mount for C31 Client Receiver Mounting Bracket,It works,"Had four DirecTV devices, needed to expand to five, this worked right out of the box with no issues whatsoever."
631,632,__label1__,4,N,Electronics,B000OL3QTW,Sony SA-W2500 Performance Line 100 Watt Subwoofer (Old Version),A good product,"My son asked for this subwoofer on his birthday, so I bought it for him. He seems to like it so far, so that’s money well spent. I just don’t understand why he wanted it in the first place though. I don’t even know what it does."
632,633,__label1__,4,N,Electronics,B002HK5AW4,CAT5e RJ45 PATCH ETHERNET NETWORK CABLE 50 FT WHITE,nice,It was nice to find something cheap at a fast ship place. The quality of product and receipt of merchandise is ok as wished. I should have paid attention before and ordered these cable.
667,668,__label1__,4,N,Electronics,B00CAAJDP6,Sony STR-DN1040 7.2-Channel Network A/V Receiver (Built-in Wi-fi & Bluetooth),Comes with issues,"This baby is pretty good once you get it running, but it does come with a few issues. It took a while to setup and get used to, but I can say that about a lot of products, so whatever. Still, I hate having to be patient since I have no patience."
696,697,__label1__,3,N,Electronics,B0011TS8LM,"JLab Audio J4 Heavy Bass, Rugged Metal In-Ear Headphone, GUARANTEED FOR LIFE - Obsidian Black",sounds quality is very low,Perfect that you can listen to music on this Bluetooth but what's the point if the sounds quality is very low. There is no volume adjustment when listening to the person on the other end. I didn't return it because of the shipping and handling cost. I kept it as a standby Bluetooth in my car.
704,705,__label1__,1,N,Electronics,B008CS5ZRU,Beats Studio Over-Ear Headphone (Black) (Discontinued by Manufacturer),WASTE OF MONEY!!! Low quality and not comfortable AT ALL!!!,"When I purchased this headset, I had been looking for a quality pair for a long time. I had tried time and time again hoping for something that sounded great and was comfortable on my head.<br /><br />Not only was this headset extremely uncomfortable, but the sound quality was horrible. After only a week, one side stopped working and I had to hit it to try to get it to work again. This was absolutely NOT what I expected after looking at the other good reviews.<br /><br />I searched again, asked around and finally found a headset that works now, and I love it! It has been about 2 months and it still works great. I can go hours at a time without them bugging me and the sound quality is AMAZING!<br /><br />If you need a QUALITY headset, go here ------&#62; http://amzn.to/1nsrbPn<br /><br />I promise, they are well worth what they cost. You cannot beat quality!!!"
705,706,__label1__,4,N,Electronics,B000H12VI6,JVC 900MHZ Wireless Headphones - Black (Discontinued by Manufacturer),Quality is very good,I bought as gift for my son. He says he loves his new headphones. The quality is very good. His only complaint is that they are a little bit of an awkward fit. I offered to send them back but he said absolutely not. Thinking of getting myself a pair.
724,725,__label1__,1,Y,Electronics,B007X26T3A,Wolverine WIOS2 Wireless Indoor-Outdoor Stereo Speakers - Water Resistant - Black (Twin Speakers),Distortion,"When I turn the volume more than half way up on these speakers, there is significant distortion. There is no way to get decent volume without distortion."
758,759,__label1__,4,Y,Electronics,B00ODC9HJG,"Sentey LS-4201 Amplitude X360 Black In-Ear Headphones with In-Line Microphone Controller for Apple, iPhone, iPad, iPod, Smartphone, Samsung Galaxy, 15mm Drivers, 3.5 mm Connector.",Nice headsets with this price,"These headphones are awesome.Really light as a feather and a durable cable.Sound quality is great as well but only thing that i had problems with was the rubber head of the headset,which has trouble fitting my ear but i hope I will fix it in no time!"
803,804,__label1__,4,N,Electronics,B009CL8NH0,"Portta 100HC Mini HDMI to 3RCA Composite AV Converter for TV/PC/PS3/Blue-ray DVD1080P,White / Black - Not for Windows 10",as advertised,Just get this product already. It works as advertised and won't disappoint unless you're expecting it to do something that it wasn't even designed to do.
819,820,__label1__,4,N,Electronics,B00FA4UC2M,Grain Audio PWS.01 Packable Encased Bluetooth Wireless Speaker System with 8 Hour Rechargeable Battery (Walnut),best quality,"good sound best quality , nice celerity, nice looking body ,,its a super Awesome product, best thing is loud voice"
