,DOC_ID,LABEL,RATING,VERIFIED_PURCHASE,PRODUCT_CATEGORY,PRODUCT_ID,PRODUCT_TITLE,REVIEW_TITLE,REVIEW_TEXT
50,51,__label1__,4,N,Books,1593851286,The Mindful Way Through Depression: Freeing Yourself from Chronic Unhappiness (Book & CD),Good book,"I have begun using many of the techniques discussed in this book to help deal with my anxiety and depression. It has been a huge help! I have also begun doing some meditation, and am slowly working on replacing my Zoloft with an OTC supplement. Between these three things, my life has improved 100%. Anyone out there looking for an OTC supplement for anxiety/depression should give XanRx a try.  Really helpful in conjunction with this book.[[ASIN:B00F5JJLOC XanRx - Dietary supplement reduces symptoms of anxiety, stress, depression, and panic attacks. Boost your mood, increase relaxation, and beat your anxiety with Kava kava, 5-htp, Theanine, Gaba, and more. Money Back Guarantee!]]"
58,59,__label1__,1,N,Books,1594203369,The Most Dangerous Book: The Battle for James Joyce's Ulysses,A Day in the Life of a Century,"Ulysses Errata Once Penned<br /><br />""Ulysses"" ruined spring for me, a day in the life of a century.<br /><br />Self-pleasuring made ominous, to sell books, an overt device.<br /><br />The ""Anabasis"" is far better a template, the Odyssey foreshadows earliest in the tale, fate.<br /><br />Leopold does not Bloom, a wife's infidelity, they barely share a bedroom.<br /><br />The most dangerous book is the tell-all coming up for publication. Those who have very pointed concerns about its release fret, sweat, run it through the mind until you have a collective of murderous revenge seekers.<br /><br />Virginia Woolf, Master Novelist, was right to dismiss James Joyce's work. It can only be a tepid ode to a Grecian epic poem.<br /><br />Chris Roberts, God Made Out Verticallybe found in all of Rodmell, or England for that matter.<br /><br />Once this is finished, I walk down to the river. At the water's edge I weigh myself down with stones, my very eyes in my pockets, and slip into the deep.<br /><br />Virginia Woolf, Chronicler of Life<br /><br />* And I, C.R. would add, Best Novelist of the 20th Century<br /><br />You are loved Virginia everywhere. James Joyce, not so much, if at all. A day in the life is a small view, excluding the other billions of lives per day."
61,62,__label1__,1,N,Books,670026255,"T.C. Boyle Stories II: The Collected Stories of T. Coraghessan Boyle, Volume II",Books for Album Covers,"J. D Salinger was righteous...<br /><br />Not in his scribblings, but in this case...<br /><br />No author photo...anywhere...on the book...<br /><br />On the cover especially, oh cover...<br /><br />This disastrous, forced T. C. Boyle pose...<br /><br />Fact, not fiction...<br /><br />The redhead is never the leading man...<br /><br />In moving pictures, still photography...<br /><br />Anti-hero, the step child...<br /><br />The somebody I don't want too see...<br /><br />Red blazer, black tee is all 80s...<br /><br />I suppose better off red, than dead...<br /><br />The font and manufactured stare...<br /><br />Scream bad album cover...<br /><br />Jesus Christ couldn't pull it off...<br /><br />But together we laugh...<br /><br />At T. C.<br /><br />And share a piece of bread...<br /><br />Get polluted on crushed wine...<br /><br />And we laugh some more...<br /><br />The young Jesus...<br /><br />Before the miracles, sermons...<br /><br />The Cross so far years away...<br /><br />We trip out on Led Zeppelin...<br /><br />Chris Roberts, God of Jesus Christ (The laughing Prophet)"
138,139,__label1__,1,N,Books,1489559698,It Starts With Food CookBook: The Low Sugar Gluten-Free & Whole Food CookBook - 40 Delicious & Healthy Recipes Your Family Will Love,Go with the original,"Customers are advised to go with the original resource instead since this is not only a rip-off, it is also quite the opposite of what it is supposed to be doing for readers. Seriously, you will only gain weight and be unhealthy when you go with this."
145,146,__label1__,1,N,Books,812995228,Among the Ten Thousand Things: A Novel,The Age of Dead Imagination,"I will write a short, shorter novel too it is called, &#34;Review&#34; subtitle &#34;Analysis of a Printed Book&#34; it is dark to see my name on a critique it never ends well my name is Forever Days ratings and solitary gold star.  Dad messes up again and again and again over and over in every second novel printed or what I call - The Age of Dead Imagination and the authors who embrace this repetitively maddening genre.  I never, in my very many one-star, revolutionary reviews conferred on an author a compliment because I am beholding to the great intricacies of the high above expanse the title is impossibly beautiful and one must read it in slow motion to absorb its weight that done, I'm so fast-forward out.  Christopher Roberts"
152,153,__label1__,4,N,Books,140006788X,Night Film: A Novel,Good one!,I liked her first book: Special Topics in Calamity Physics and became a fan if Pessl right there.<br /><br />This is an addictive novel. Make sure to give yourself a few hours to read it.<br /><br />Great read!
153,154,__label1__,1,N,Books,1250051681,The Last Flight of Poxl West: A Novel,Metal Rain,"Metal Rain. Flak riddled wings whirl wild, lethal - hurtling into gravity's domain, bomber mirages, streaming fuel, soaking tree trunks and forest floor. Fires burn death, prepare soil for future live days.  Chris Roberts, God"
168,169,__label1__,1,N,Books,1616201630,A Life in Men: A Novel,"The Wandering, Wondering Mary.","The wandering, wondering Mary...dead friend, she wonders...and wanders...will travel for sex...coupling, sexual intercourse, coitus...next port....lust is stalking the globe...mothers of Europe...lock up your sons...Mary likes to hook up...Henry Miller never had it so good...and when Mary is not on sexual fire...she thinks about her deceased compatriot...that is verbatim the storyline...and this is...The End (of Substance)...feel free to weep.<br /><br />Chris Roberts, God Forever of You"
179,180,__label1__,4,N,Books,345529383,Deliciously G-Free: Food So Flavorful They'll Never Believe It's Gluten-Free,good choice,"This is Elizabeth's second gluten free book.. The first one emphasizes the general info on gluten free living...this second one has more recipes...anyone looking to improve their gluten free choices, this is a good choice."
243,244,__label1__,4,N,Books,1605506249,"1,001 Facts that Will Scare the S#*t Out of You: The Ultimate Bathroom Reader","funny, mind boggling","its a great read, facts to be read is just so shocking and the same time amazing, Love it, I just love it...."
247,248,__label1__,2,N,Books,6074215170,Fugas (Coleccion Andanzas) (Spanish Edition),mediocre,"Libro que parece haberse escrito bastante aprisa sin detenerse mucho a profundizar en los personajes. El escritor vuelve sobre el socorrido tema de Cuba, aunque no presenta nada novedoso. Los lectores no hallaran aqui algo que ya no se haya dicho antes en otras novelas."
256,257,__label1__,4,Y,Books,812979273,Buffett: The Making of an American Capitalist,Buffett is awesome,"To put in few simple words. If you like Buffett or if you want to learn more about him , then buy this book now :)"
277,278,__label1__,4,N,Books,1118510712,SharePoint 2013 For Dummies,Security,What I particularly find useful is the topic on app security. The author really did a great job in explaining the engine behind external app authentication using OAuth and S2s high-trusts.
